"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Estimated percent of households with a subscription to broadband"
"10280","10280","=""10280""","89.45"
"10069","10069","=""10069""","88.19"
"10006","10006","=""10006""","93.94"
"10282","10282","=""10282""","94.82"
"10005","10005","=""10005""","88.25"
"11109","11109","=""11109""","94.88"
"10311","10311","=""10311""","N/A"
"11425","11425","=""11425""","N/A"
"11451","11451","=""11451""","N/A"
"11424","11424","=""11424""","N/A"
"10020","10020","=""10020""","N/A"
"10199","10199","=""10199""","N/A"
"10119","10119","=""10119""","N/A"
"10278","10278","=""10278""","N/A"
"10162","10162","=""10162""","86.72"
"10110","10110","=""10110""","N/A"
"10170","10170","=""10170""","N/A"
"10103","10103","=""10103""","N/A"
"10112","10112","=""10112""","N/A"
"10174","10174","=""10174""","N/A"
"10168","10168","=""10168""","N/A"
"10165","10165","=""10165""","N/A"
"10171","10171","=""10171""","N/A"
"10152","10152","=""10152""","N/A"
"10172","10172","=""10172""","N/A"
"10167","10167","=""10167""","N/A"
"10154","10154","=""10154""","N/A"
"11351","11351","=""11351""","N/A"
"10173","10173","=""10173""","N/A"
"10153","10153","=""10153""","N/A"
"10279","10279","=""10279""","N/A"
"10169","10169","=""10169""","N/A"
"10111","10111","=""10111""","N/A"
"10271","10271","=""10271""","N/A"
"10115","10115","=""10115""","N/A"
"10177","10177","=""10177""","N/A"

"Location: New York (City, 2010)"

"Indicator source: Census"
"http://www.policymap.com/our-data-directory.html#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
