"active_date","address","boro","census_tract","city","community_board","corner","council_district","cross_street_1","cross_street_2","install_date","latitude","longitude","nta","nta_name","phone_status","ppt_id","site_id","state","status","tablet_status","wifi_status","zip"
"2018-05-09T00:00:00.000","811 6 AVENUE","Manhattan","95","New York","5","SWC","3","WEST 28 STREET","WEST 27 STREET","2018-02-24T00:00:00.000","40.74598929361494","-73.99071175435859","MN17","Midtown-Midtown South","up","122221_122765","mn-05-122221","NY","Link Active!","up","up","10001"
"2018-07-09T00:00:00.000","712 6 AVENUE","Manhattan","58","New York","5","SE","3","WEST 23 STREET","WEST 22 STREET","2018-03-18T00:00:00.000","40.74272274","-73.9927995","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","up","122269","mn-05-122269","NY","Link Active!","up","up","10010"
"2018-07-06T00:00:00.000","688 6 AVENUE","Manhattan","58","New York","5","SE","3","WEST 22 STREET","WEST 21 STREET","2018-02-12T00:00:00.000","40.74208082","-73.99326129","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","up","122270","mn-05-122270","NY","Link Active!","up","up","10010"
"2018-06-07T00:00:00.000","552 6 AVENUE","Manhattan","54","New York","5","NE","3","WEST 15 STREET","WEST 16 STREET","2018-03-18T00:00:00.000","40.73810851","-73.99615313","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","up","122272","mn-05-122272","NY","Link Active!","up","up","10011"
"2016-05-12T00:00:00.000","500 8 AVENUE","Manhattan","109","New York","5","NE","3","WEST 35 STREET","WEST 36 STREET","2016-04-26T00:00:00.000","40.752949","-73.992762","MN17","Midtown-Midtown South","up","122305_122569","mn-05-122305","NY","Link Active!","up","up","10018"
"2016-07-19T00:00:00.000","1293 BROADWAY","Manhattan","101","New York","5","NW","3","WEST 34 STREET","WEST 33 STREET","2016-04-30T00:00:00.000","40.74972091077574","-73.98808378406142","MN17","Midtown-Midtown South","up","122369_122676","mn-05-122369","NY","Link Active!","up","up","10001"
"2016-12-09T00:00:00.000","362 7 AVENUE","Manhattan","101","New York","5","NW","3","WEST 30 STREET","WEST 31 STREET","2016-10-08T00:00:00.000","40.74861534","-73.99248875","MN17","Midtown-Midtown South","up","122442_122455","mn-05-122442","NY","Link Active!","up","up","10001"
"2017-02-07T00:00:00.000","383 7 AVENUE","Manhattan","101","New York","5","SE","3","WEST 31 STREET","WEST 32 STREET","2016-11-12T00:00:00.000","40.74915253","-73.99180123","MN17","Midtown-Midtown South","up","122445_123652","mn-05-122445","NY","Link Active!","down","up","10001"
"2017-01-18T00:00:00.000","430 7 AVENUE","Manhattan","101","New York","5","SW","3","WEST 33 STREET","WEST 34 STREET","2016-10-08T00:00:00.000","40.75048843","-73.99113025","MN17","Midtown-Midtown South","up","122446_122563","mn-05-122446","NY","Link Active!","up","up","10001"
"2016-12-16T00:00:00.000","341 7 AVENUE","Manhattan","95","New York","5","SE","3","WEST 29 STREET","WEST 30 STREET","2016-10-22T00:00:00.000","40.747904","-73.992745","MN17","Midtown-Midtown South","up","122453_122454","mn-05-122453","NY","Link Active!","up","up","10001"
"2017-07-20T00:00:00.000","1785 BROADWAY","Manhattan","137","New York","5","SW","3","WEST 58 STREET","WEST 57 STREET","2017-05-26T00:00:00.000","40.76700781147154","-73.98185928988113","MN17","Midtown-Midtown South","up","122514_122527","mn-05-122514","NY","Link Active!","up","up","10019"
"2016-07-19T00:00:00.000","1767 BROADWAY","Manhattan","137","New York","5","SW","3","WEST 56 STREET","WEST 57 STREET","2016-05-26T00:00:00.000","40.76617479","-73.98198781","MN17","Midtown-Midtown South","up","122522_122523","mn-05-122522","NY","Link Active!","up","up","10019"
"2016-07-19T00:00:00.000","1710 BROADWAY","Manhattan","137","New York","5","NW","4","WEST 54 STREET","WEST 55 STREET","2016-04-16T00:00:00.000","40.76412672","-73.98230856","MN17","Midtown-Midtown South","up","122529","mn-05-122529","NY","Link Active!","up","up","10019"
"2016-07-19T00:00:00.000","1725 BROADWAY","Manhattan","137","New York","5","NW","3","WEST 55 STREET","WEST 54 STREET","2016-05-14T00:00:00.000","40.76467196","-73.98236264","MN17","Midtown-Midtown South","up","122532_122533","mn-05-122532","NY","Link Active!","up","up","10019"
"2016-07-19T00:00:00.000","1701 BROADWAY","Manhattan","131","New York","5","SW","3","WEST 54 STREET","WEST 53 STREET","2016-04-30T00:00:00.000","40.76397808","-73.98262883","MN17","Midtown-Midtown South","up","122541_122837","mn-05-122541","NY","Link Active!","up","up","10019"
"2016-04-12T00:00:00.000","790 8 AVENUE","Manhattan","125","New York","5","NE","3","WEST 48 STREET","WEST 49 STREET","2016-03-24T00:00:00.000","40.761094","-73.986828","MN17","Midtown-Midtown South","up","122586","mn-05-122586","NY","Link Active!","up","up","10019"
"2017-10-02T00:00:00.000","270 WEST 47 STREET","Manhattan","125","New York","5","SE","3","8 AVENUE","BROADWAY","2017-07-29T00:00:00.000","40.760283","-73.987313","MN17","Midtown-Midtown South","up","122591","mn-05-122591","NY","Link Active!","up","up","10036"
"2016-04-27T00:00:00.000","830 8 AVENUE","Manhattan","131","New York","5","NE","3","WEST 50 STREET","WEST 51 STREET","2016-04-16T00:00:00.000","40.762331","-73.985923","MN17","Midtown-Midtown South","up","122593_122594","mn-05-122593","NY","Link Active!","up","up","10019"
"2016-11-21T00:00:00.000","888 8 AVENUE","Manhattan","131","New York","5","SE","3","WEST 53 STREET","WEST 52 STREET","2016-10-15T00:00:00.000","40.76399635","-73.98471931","MN17","Midtown-Midtown South","up","122608","mn-05-122608","NY","Link Active!","up","up","10019"
